repo,CommitCommentEvent,CreateEvent,DeleteEvent,ForkEvent,GollumEvent,IssueCommentEvent,IssuesEvent,MemberEvent,PublicEvent,PullRequestEvent,PullRequestReviewCommentEvent,PullRequestReviewEvent,PushEvent,ReleaseEvent,WatchEvent
03taco/crypto-aml-check,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,253.0
04x/ICG-AutoExploiterBoT,1.0,0.0,0.0,46.0,0.0,8.0,15.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,93.0
0aqz0/SLR,1.0,2.0,0.0,41.0,0.0,114.0,49.0,0.0,1.0,0.0,0.0,0.0,72.0,0.0,226.0
0b5vr/tweakpane-plugin-rotation,0.0,8.0,0.0,6.0,0.0,5.0,1.0,0.0,0.0,2.0,2.0,3.0,23.0,4.0,78.0
0e0w/HackJava,0.0,2.0,0.0,108.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,570.0
0hotpantsbronze30/0sxiykjbt20s,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,178.0
0mountainman3/jsdi8poywcqa,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,70.0
0no-co/wonka,0.0,54.0,31.0,14.0,0.0,41.0,32.0,0.0,0.0,86.0,5.0,32.0,123.0,12.0,170.0
0voice/k8s_awesome_document,0.0,0.0,0.0,374.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,1246.0
0x1F9F1/mem,0.0,2.0,0.0,23.0,0.0,7.0,2.0,0.0,0.0,4.0,5.0,5.0,23.0,0.0,130.0
0x4D31/burpa,0.0,0.0,0.0,42.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,150.0
0x534a/dynmx,0.0,0.0,0.0,7.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,74.0
0x727/DropLabTools,0.0,5.0,0.0,32.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,219.0
0xAA55/gta-onl1ne-modmenu,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,115.0
0xAA55/resampler,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0
0xCyberY/ehtk,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,22.0,0.0,97.0
0xFableOrg/roll-op,0.0,12.0,10.0,15.0,0.0,66.0,61.0,0.0,0.0,27.0,37.0,43.0,49.0,0.0,74.0
0xKitsune/cfmms-rs,0.0,15.0,13.0,57.0,0.0,38.0,36.0,0.0,0.0,81.0,14.0,9.0,191.0,0.0,198.0
0xMJ/AI-Security-Learning,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,490.0
