month,n_active_users
2019-07,978892
2019-08,939816
2019-09,927695
2019-10,970169
2019-11,979735
2019-12,950792
2020-01,931658
2020-02,928038
2020-03,1060785
2020-04,1160616
2020-05,1190428
2020-06,1096328
2020-07,1106696
2020-08,1027212
2020-09,1071263
2020-10,1088859
2020-11,1113150
2020-12,1139574
2021-01,1177175
2021-02,1108546
2021-03,1157589
2021-04,1163917
2021-05,1089932
2021-06,1124263
2021-07,1137975
2021-08,1084832
2021-09,1154860
2021-10,671172
2021-11,1192643
2021-12,1258766
2022-01,1316812
2022-02,1205267
2022-03,1338548
2022-04,1330821
2022-05,1307857
2022-06,1227906
2022-07,1275567
2022-08,1333855
2022-09,1323724
2022-10,1352941
2022-11,1349344
2022-12,1253665
2023-01,1395326
2023-02,1440124
2023-03,1620320
2023-04,1615438
2023-05,1559589
2023-06,1542437
2023-07,1502285
2023-08,1470590
2023-09,1459812
2023-10,1504076
2023-11,1556520
2023-12,1485787
2024-01,1647831
2024-02,1568897
2024-03,1774926
2024-04,1663163
2024-05,1613150
2024-06,1543616
2024-07,1639392
2024-08,1593231
2024-09,1605189
