repo,month,n_stars,n_clustered_stars
1c7/chinese-independent-developer,2019-07,106,0
1c7/chinese-independent-developer,2019-08,50,0
1c7/chinese-independent-developer,2019-09,52,0
1c7/chinese-independent-developer,2019-10,72,0
1c7/chinese-independent-developer,2019-11,85,0
1c7/chinese-independent-developer,2019-12,111,0
1c7/chinese-independent-developer,2020-01,4,0
2dust/v2rayN,2019-07,146,0
2dust/v2rayN,2019-08,184,0
2dust/v2rayN,2019-09,398,0
2dust/v2rayN,2019-10,381,0
2dust/v2rayN,2019-11,402,0
2dust/v2rayN,2019-12,302,0
2dust/v2rayN,2020-01,9,0
2dust/v2rayNG,2019-07,60,0
2dust/v2rayNG,2019-08,71,0
2dust/v2rayNG,2019-09,208,0
2dust/v2rayNG,2019-10,199,0
2dust/v2rayNG,2019-11,147,0
2dust/v2rayNG,2019-12,130,0
2dust/v2rayNG,2020-01,2,0
4ian/GDevelop,2019-07,48,0
4ian/GDevelop,2019-08,26,0
4ian/GDevelop,2019-09,14,0
4ian/GDevelop,2019-10,26,0
4ian/GDevelop,2019-11,18,0
4ian/GDevelop,2019-12,26,0
521xueweihan/HelloGitHub,2019-07,206,0
521xueweihan/HelloGitHub,2019-08,345,0
521xueweihan/HelloGitHub,2019-09,209,0
521xueweihan/HelloGitHub,2019-10,254,0
521xueweihan/HelloGitHub,2019-11,666,0
521xueweihan/HelloGitHub,2019-12,1906,0
521xueweihan/HelloGitHub,2020-01,11,0
ACL4SSR/ACL4SSR,2019-07,41,0
ACL4SSR/ACL4SSR,2019-08,59,0
ACL4SSR/ACL4SSR,2019-09,38,0
ACL4SSR/ACL4SSR,2019-10,54,0
ACL4SSR/ACL4SSR,2019-11,57,0
ACL4SSR/ACL4SSR,2019-12,63,0
ACL4SSR/ACL4SSR,2020-01,5,0
Adamant-im/adamant,2019-08,12,0
Adamant-im/adamant,2019-09,10,0
Adamant-im/adamant,2019-10,6,0
Adamant-im/adamant,2019-11,5,0
Adamant-im/adamant,2019-12,3,0
Adamant-im/adamant-exchangebot,2019-09,1,0
Adamant-im/adamant-im,2019-09,1,0
Adamant-im/adamant-im,2019-12,1,0
Alexays/Waybar,2019-07,18,0
Alexays/Waybar,2019-08,17,0
Alexays/Waybar,2019-09,17,0
Alexays/Waybar,2019-10,9,0
Alexays/Waybar,2019-11,16,0
Alexays/Waybar,2019-12,10,0
AlfredXiangWu/LightCNN,2019-07,6,0
AlfredXiangWu/LightCNN,2019-08,6,0
AlfredXiangWu/LightCNN,2019-09,1,0
AlfredXiangWu/LightCNN,2019-10,11,0
AlfredXiangWu/LightCNN,2019-11,6,0
Alvin9999/new-pac,2019-07,297,0
Alvin9999/new-pac,2019-08,343,0
Alvin9999/new-pac,2019-09,546,0
Alvin9999/new-pac,2019-10,471,0
Alvin9999/new-pac,2019-11,394,0
Alvin9999/new-pac,2019-12,283,0
Alvin9999/new-pac,2020-01,10,0
AobingJava/JavaFamily,2019-11,934,0
AobingJava/JavaFamily,2019-12,770,0
AobingJava/JavaFamily,2020-01,10,0
Asabeneh/30-Days-Of-Python,2019-11,6,0
Asabeneh/30-Days-Of-Python,2019-12,141,0
Asabeneh/30-Days-Of-Python,2020-01,3,0
Avik-Jain/100-Days-Of-ML-Code,2019-07,336,0
Avik-Jain/100-Days-Of-ML-Code,2019-08,308,0
Avik-Jain/100-Days-Of-ML-Code,2019-09,335,0
Avik-Jain/100-Days-Of-ML-Code,2019-10,197,0
Avik-Jain/100-Days-Of-ML-Code,2019-11,109,0
Avik-Jain/100-Days-Of-ML-Code,2019-12,143,0
