github,total_stars,fake_stars,fake_percentage
Bitcoin-ABC/bitcoin-abc,751,207,27.563249001331556
BlackAmda/QueenAmdi,438,44,10.045662100456621
Joystream/joystream,1671,1115,66.72651107121484
MirrorCY/rryth,132,8,6.0606060606060606
SamPandey001/Secktor-Md,454,65,14.317180616740089
Shopify/cli,232,6,2.586206896551724
adaptyteam/AdaptySDK-React-Native,112,15,13.392857142857142
angular/angular,55230,3701,6.7010682600036215
apache/superset,29866,1107,3.7065559499095966
aptos-labs/aptos-core,6215,741,11.922767497988737
bwp91/homebridge-govee,423,21,4.964539007092199
ccxt/ccxt,22316,646,2.89478401147159
clappr/clappr,2614,320,12.241775057383322
codigoencasa/bot-whatsapp,1315,123,9.35361216730038
discordjs/discord.js,23335,1204,5.159631454896079
electron/electron,48503,3389,6.987196668247325
esbanarango/ember-model-validator,44,0,0.0
etherspot/etherspot-sdk,406,218,53.69458128078818
facebook/react,46247,3024,6.538802516920017
facebook/react-native,46247,3024,6.538802516920017
fluid-player/fluid-player,659,51,7.7389984825493165
freearhey/iptv-playlist-parser,137,8,5.839416058394161
h5bp/html5-boilerplate,16664,1393,8.35933749399904
holochain/holochain-client-js,230,185,80.43478260869566
homebridge-eufy-security/plugin,154,6,3.896103896103896
hydro-dev/Hydro,3089,674,21.819359015862737
martinkr/next-export-i18n,231,9,3.896103896103896
navikt/aksel,65,2,3.076923076923077
navikt/nav-frontend-moduler,34,1,2.941176470588235
nocodb/nocodb,38770,551,1.421201960278566
novuhq/novu,30186,947,3.1372159279136023
originjs/origin.js,122,0,0.0
osmlab/name-suggestion-index,535,0,0.0
paraswap/paraswap-sdk,768,295,38.41145833333333
pedroslopez/whatsapp-web.js,14413,320,2.2202178588774024
puppeteer/puppeteer,35452,714,2.0139907480537063
rails/rails,15591,528,3.386569174523764
reach-sh/reach-lang,608,63,10.361842105263158
replicate/replicate-javascript,421,42,9.97624703087886
serverless-stack/sst,9959,2738,27.492720152625765
shesha-io/shesha-framework,310,33,10.64516129032258
sst/sst,4019,21,0.522518039313262
streamr-dev/network,516,229,44.37984496124031
streamr-dev/network-monorepo,47,1,2.127659574468085
subquery/subql,18485,11050,59.77819853935623
sumithemmadi/truecallerjs,458,24,5.240174672489083
tabler/tabler,20674,411,1.988004256554126
tatumio/tatum-js,432,163,37.73148148148148
thx/gogocode,5350,379,7.084112149532711
titaniumnetwork-dev/Ultraviolet,584,12,2.054794520547945
twbs/bootstrap,47567,4479,9.416191897744234
vuejs/vue,82348,10085,12.246806236945645
weavedb/weavedb,157,30,19.10828025477707
worldwide-asset-exchange/waxjs,123,7,5.691056910569105
zeit/next.js,11310,112,0.9902740937223696
