github,total_stars,fake_stars,fake_percentage
etherspot/etherspot-sdk,365,94,25.753424657534246
Joystream/joystream,1423,283,19.88756148981026
serverless-stack/sst,20984,2909,13.862943194815097
sst/sst,20967,2905,13.855105642199646
tatumio/tatum-js,353,42,11.89801699716714
hydro-dev/Hydro,3199,322,10.065645514223196
subquery/subql,19121,1729,9.042414099680979
streamr-dev/network-monorepo,573,51,8.900523560209423
streamr-dev/network,573,51,8.900523560209423
martinkr/next-export-i18n,239,18,7.531380753138076
MirrorCY/rryth,135,10,7.4074074074074066
navikt/aksel,150,10,6.666666666666667
navikt/nav-frontend-moduler,150,10,6.666666666666667
shesha-io/shesha-framework,327,20,6.116207951070336
adaptyteam/AdaptySDK-React-Native,120,7,5.833333333333333
weavedb/weavedb,194,11,5.670103092783505
reach-sh/reach-lang,587,30,5.110732538330494
replicate/replicate-javascript,433,22,5.080831408775981
holochain/holochain-client-js,257,13,5.058365758754864
homebridge-eufy-security/plugin,155,7,4.516129032258064
freearhey/iptv-playlist-parser,121,5,4.132231404958678
worldwide-asset-exchange/waxjs,127,5,3.937007874015748
codigoencasa/bot-whatsapp,2178,85,3.902662993572085
SamPandey001/Secktor-Md,394,15,3.807106598984772
bwp91/homebridge-govee,434,16,3.686635944700461
BlackAmda/QueenAmdi,380,12,3.1578947368421053
aptos-labs/aptos-core,5887,176,2.9896381858331917
thx/gogocode,5336,158,2.9610194902548725
Bitcoin-ABC/bitcoin-abc,1238,35,2.827140549273021
sumithemmadi/truecallerjs,463,13,2.8077753779697625
Shopify/cli,373,10,2.680965147453083
fluid-player/fluid-player,790,19,2.4050632911392404
esbanarango/ember-model-validator,167,4,2.3952095808383236
originjs/origin.js,126,3,2.380952380952381
mystenlabs/sui,5842,129,2.208147894556659
paraswap/paraswap-sdk,683,14,2.049780380673499
clappr/clappr,7006,143,2.0411076220382527
Shopify/theme-scripts,505,10,1.9801980198019802
bitcoinjs/bip38,205,4,1.951219512195122
actions-on-google/assistant-conversation-nodejs,104,2,1.9230769230769231
ethereum/remix-plugin,156,3,1.9230769230769231
decentraland/decentraland-dapps,106,2,1.8867924528301887
worldcoin/idkit-js,267,5,1.8726591760299627
croct-tech/plug-js,108,2,1.8518518518518516
chengpeiquan/vue-picture-cropper,109,2,1.834862385321101
hardisgroupcom/sfdx-hardis,168,3,1.7857142857142856
salesforce/eslint-config-lwc,112,2,1.7857142857142856
mempool/mempool.js,169,3,1.7751479289940828
mrbungle64/ecovacs-deebot.js,113,2,1.7699115044247788
alan-ai/alan-sdk-web,2396,42,1.7529215358931551
open-telemetry/opentelemetry-js-contrib,636,11,1.729559748427673
paraswap/paraswap-dex-lib,726,12,1.6528925619834711
WasiqB/multiple-cucumber-html-reporter,243,4,1.646090534979424
trvswgnr/bs5-lightbox,123,2,1.6260162601626018
Microsoft/PowerBI-visuals-tools,314,5,1.5923566878980893
grzegorz914/homebridge-lgwebos-tv,127,2,1.574803149606299
solana-labs/token-list,1443,22,1.5246015246015245
starknet-io/starknet.js,1202,18,1.497504159733777
polkadot-js/extension,959,14,1.4598540145985401
VKCOM/VKUI,982,14,1.4256619144602851
roblox-ts/roblox-ts,855,12,1.4035087719298245
smartcontractkit/chainlink,6836,94,1.3750731421884144
iklein99/homebridge-smartthings,149,2,1.342281879194631
trezor/trezor-suite,671,9,1.3412816691505216
cryptocoinjs/coinkey,150,2,1.3333333333333335
SalesforceCommerceCloud/sfcc-ci,225,3,1.3333333333333335
moonbeam-foundation/moonbeam,916,12,1.3100436681222707
PureStake/moonbeam,916,12,1.3100436681222707
iobroker-community-adapters/ioBroker.shelly,153,2,1.3071895424836601
MetaMask/eth-phishing-detect,998,13,1.3026052104208417
twilio/twilio-cli,155,2,1.2903225806451613
KarimMokhtar/react-drag-drop-files,235,3,1.276595744680851
iDerekLi/juejin-helper,236,3,1.2711864406779663
subsquid/squid-sdk,1197,15,1.2531328320802004
subsquid/squid,1198,15,1.2520868113522539
po-ui/po-angular,887,11,1.2401352874859075
antvis/G6VP,749,9,1.2016021361815754
vuestorefront/magento2,167,2,1.1976047904191618
ethereum-optimism/optimism,5211,59,1.132220303204759
ethereum-optimism/optimism-monorepo,5214,59,1.1315688530878405
EvanNotFound/hexo-theme-redefine,1282,14,1.0920436817472698
keymanapp/keyman,376,4,1.0638297872340425
bwp91/homebridge-meross,193,2,1.0362694300518136
Workday/canvas-kit,291,3,1.0309278350515463
workday/canvas-kit,291,3,1.0309278350515463
jb3/webhook-discord,100,1,1.0
nkjm/bot-express,101,1,0.9900990099009901
0x5e/homebridge-tuya-platform,204,2,0.9803921568627451
adobe/aem-core-cif-components,102,1,0.9803921568627451
nVuln/homebridge-lg-thinq,204,2,0.9803921568627451
capacitor-community/admob,205,2,0.975609756097561
zsusac/ReactHTMLTableToExcel,103,1,0.9708737864077669
cjihrig/credit-card,103,1,0.9708737864077669
ungap/custom-elements-builtin,104,1,0.9615384615384616
arunghosh/react-pin-input,105,1,0.9523809523809524
uscensusbureau/citysdk,947,9,0.9503695881731784
Ticketmaster/aurora,106,1,0.9433962264150944
hjdhjd/myq,107,1,0.9345794392523363
qdrant/qdrant-js,216,2,0.9259259259259258
st-one-io/node-red-contrib-s7,108,1,0.9259259259259258
bostrom/text-to-image,108,1,0.9259259259259258
plone/volto,433,4,0.9237875288683602
nemtsov/express-partial-response,109,1,0.9174311926605505
tonlabs/everdev,109,1,0.9174311926605505
offchainlabs/arbitrum-sdk,218,2,0.9174311926605505
antvis/S2,1420,13,0.9154929577464789
30-seconds/30-seconds-of-code,120249,1087,0.9039576212691999
