repo_name,month,downloads
30-seconds/30-seconds-of-code,2018-01,301
30-seconds/30-seconds-of-code,2018-02,162
30-seconds/30-seconds-of-code,2018-03,228
30-seconds/30-seconds-of-code,2018-04,392
30-seconds/30-seconds-of-code,2018-05,268
30-seconds/30-seconds-of-code,2018-06,230
30-seconds/30-seconds-of-code,2018-07,542
30-seconds/30-seconds-of-code,2018-08,324
30-seconds/30-seconds-of-code,2018-09,427
30-seconds/30-seconds-of-code,2018-10,781
30-seconds/30-seconds-of-code,2018-11,981
30-seconds/30-seconds-of-code,2018-12,1012
30-seconds/30-seconds-of-code,2019-01,916
30-seconds/30-seconds-of-code,2019-02,808
30-seconds/30-seconds-of-code,2019-03,1400
30-seconds/30-seconds-of-code,2019-04,1018
30-seconds/30-seconds-of-code,2019-05,864
30-seconds/30-seconds-of-code,2019-06,831
30-seconds/30-seconds-of-code,2019-07,1238
30-seconds/30-seconds-of-code,2019-08,3523
30-seconds/30-seconds-of-code,2019-09,4177
30-seconds/30-seconds-of-code,2019-10,5056
30-seconds/30-seconds-of-code,2019-11,5197
30-seconds/30-seconds-of-code,2019-12,6493
30-seconds/30-seconds-of-code,2020-01,21564
30-seconds/30-seconds-of-code,2020-02,20711
30-seconds/30-seconds-of-code,2020-03,26158
30-seconds/30-seconds-of-code,2020-04,23275
30-seconds/30-seconds-of-code,2020-05,21885
30-seconds/30-seconds-of-code,2020-06,16028
30-seconds/30-seconds-of-code,2020-07,15058
30-seconds/30-seconds-of-code,2020-08,13261
30-seconds/30-seconds-of-code,2020-09,11212
30-seconds/30-seconds-of-code,2020-10,12472
30-seconds/30-seconds-of-code,2020-11,8947
30-seconds/30-seconds-of-code,2020-12,6869
30-seconds/30-seconds-of-code,2021-01,6520
30-seconds/30-seconds-of-code,2021-02,6198
30-seconds/30-seconds-of-code,2021-03,7008
30-seconds/30-seconds-of-code,2021-04,6226
30-seconds/30-seconds-of-code,2021-05,13073
30-seconds/30-seconds-of-code,2021-06,10454
30-seconds/30-seconds-of-code,2021-07,9660
30-seconds/30-seconds-of-code,2021-08,8839
30-seconds/30-seconds-of-code,2021-09,11051
30-seconds/30-seconds-of-code,2021-10,12722
30-seconds/30-seconds-of-code,2021-11,12313
30-seconds/30-seconds-of-code,2021-12,12882
30-seconds/30-seconds-of-code,2022-01,10890
30-seconds/30-seconds-of-code,2022-02,9869
30-seconds/30-seconds-of-code,2022-03,10659
30-seconds/30-seconds-of-code,2022-04,6632
30-seconds/30-seconds-of-code,2022-05,7665
30-seconds/30-seconds-of-code,2022-06,9512
30-seconds/30-seconds-of-code,2022-07,8529
30-seconds/30-seconds-of-code,2022-08,7238
30-seconds/30-seconds-of-code,2022-09,7427
30-seconds/30-seconds-of-code,2022-10,6885
30-seconds/30-seconds-of-code,2022-11,6677
30-seconds/30-seconds-of-code,2022-12,6387
30-seconds/30-seconds-of-code,2023-01,6531
30-seconds/30-seconds-of-code,2023-02,1760
30-seconds/30-seconds-of-code,2023-03,1358
30-seconds/30-seconds-of-code,2023-04,1254
30-seconds/30-seconds-of-code,2023-05,1553
30-seconds/30-seconds-of-code,2023-06,1573
30-seconds/30-seconds-of-code,2023-07,1171
30-seconds/30-seconds-of-code,2023-08,1481
30-seconds/30-seconds-of-code,2023-09,1247
30-seconds/30-seconds-of-code,2023-10,1724
30-seconds/30-seconds-of-code,2023-11,1404
30-seconds/30-seconds-of-code,2023-12,784
30-seconds/30-seconds-of-code,2024-01,959
30-seconds/30-seconds-of-code,2024-02,971
30-seconds/30-seconds-of-code,2024-03,578
30-seconds/30-seconds-of-code,2024-04,1043
30-seconds/30-seconds-of-code,2024-05,1696
30-seconds/30-seconds-of-code,2024-06,1590
Bitcoin-ABC/bitcoin-abc,2021-06,136
Bitcoin-ABC/bitcoin-abc,2021-07,356
Bitcoin-ABC/bitcoin-abc,2021-08,314
Bitcoin-ABC/bitcoin-abc,2021-09,348
Bitcoin-ABC/bitcoin-abc,2021-10,636
Bitcoin-ABC/bitcoin-abc,2021-11,1292
Bitcoin-ABC/bitcoin-abc,2021-12,1249
Bitcoin-ABC/bitcoin-abc,2022-01,1181
Bitcoin-ABC/bitcoin-abc,2022-02,1197
Bitcoin-ABC/bitcoin-abc,2022-03,1394
Bitcoin-ABC/bitcoin-abc,2022-04,2618
Bitcoin-ABC/bitcoin-abc,2022-05,2584
Bitcoin-ABC/bitcoin-abc,2022-06,2235
Bitcoin-ABC/bitcoin-abc,2022-07,1837
Bitcoin-ABC/bitcoin-abc,2022-08,1949
Bitcoin-ABC/bitcoin-abc,2022-09,1729
Bitcoin-ABC/bitcoin-abc,2022-10,2186
Bitcoin-ABC/bitcoin-abc,2022-11,2502
Bitcoin-ABC/bitcoin-abc,2022-12,2130
Bitcoin-ABC/bitcoin-abc,2023-01,2016
Bitcoin-ABC/bitcoin-abc,2023-02,2238
Bitcoin-ABC/bitcoin-abc,2023-03,2217
Bitcoin-ABC/bitcoin-abc,2023-04,2731
Bitcoin-ABC/bitcoin-abc,2023-05,2056
Bitcoin-ABC/bitcoin-abc,2023-06,2231
Bitcoin-ABC/bitcoin-abc,2023-07,2263
Bitcoin-ABC/bitcoin-abc,2023-08,2685
Bitcoin-ABC/bitcoin-abc,2023-09,2893
Bitcoin-ABC/bitcoin-abc,2023-10,2799
Bitcoin-ABC/bitcoin-abc,2023-11,3345
Bitcoin-ABC/bitcoin-abc,2023-12,2607
Bitcoin-ABC/bitcoin-abc,2024-01,3830
Bitcoin-ABC/bitcoin-abc,2024-02,4352
Bitcoin-ABC/bitcoin-abc,2024-03,4848
Bitcoin-ABC/bitcoin-abc,2024-04,3162
Bitcoin-ABC/bitcoin-abc,2024-05,2804
Bitcoin-ABC/bitcoin-abc,2024-06,2389
BlackAmda/QueenAmdi,2022-11,42
BlackAmda/QueenAmdi,2022-12,8149
BlackAmda/QueenAmdi,2023-01,3975
BlackAmda/QueenAmdi,2023-02,2280
BlackAmda/QueenAmdi,2023-03,3204
BlackAmda/QueenAmdi,2023-04,2170
BlackAmda/QueenAmdi,2023-05,1319
BlackAmda/QueenAmdi,2023-06,1279
BlackAmda/QueenAmdi,2023-07,1480
BlackAmda/QueenAmdi,2023-08,2467
BlackAmda/QueenAmdi,2023-09,430
BlackAmda/QueenAmdi,2023-10,668
BlackAmda/QueenAmdi,2023-11,283
BlackAmda/QueenAmdi,2023-12,170
BlackAmda/QueenAmdi,2024-01,260
BlackAmda/QueenAmdi,2024-02,111
BlackAmda/QueenAmdi,2024-03,135
BlackAmda/QueenAmdi,2024-04,132
BlackAmda/QueenAmdi,2024-05,166
BlackAmda/QueenAmdi,2024-06,92
Joystream/joystream,2019-05,153
Joystream/joystream,2019-06,220
Joystream/joystream,2019-07,185
Joystream/joystream,2019-08,19
Joystream/joystream,2019-09,54
Joystream/joystream,2019-10,29
Joystream/joystream,2019-11,45
Joystream/joystream,2019-12,85
Joystream/joystream,2020-01,83
Joystream/joystream,2020-02,165
Joystream/joystream,2020-03,123
Joystream/joystream,2020-04,120
Joystream/joystream,2020-05,458
Joystream/joystream,2020-06,4543
Joystream/joystream,2020-07,11214
Joystream/joystream,2020-08,11452
Joystream/joystream,2020-09,26185
Joystream/joystream,2020-10,5604
Joystream/joystream,2020-11,3244
Joystream/joystream,2020-12,493
Joystream/joystream,2021-01,296
Joystream/joystream,2021-02,2941
Joystream/joystream,2021-03,718
Joystream/joystream,2021-04,974
Joystream/joystream,2021-05,1179
Joystream/joystream,2021-06,1150
Joystream/joystream,2021-07,1543
Joystream/joystream,2021-08,1843
Joystream/joystream,2021-09,6406
Joystream/joystream,2021-10,6789
Joystream/joystream,2021-11,3527
Joystream/joystream,2021-12,5506
Joystream/joystream,2022-01,2699
Joystream/joystream,2022-02,1859
Joystream/joystream,2022-03,1968
Joystream/joystream,2022-04,1725
Joystream/joystream,2022-05,1637
Joystream/joystream,2022-06,1626
Joystream/joystream,2022-07,992
Joystream/joystream,2022-08,1352
Joystream/joystream,2022-09,1048
Joystream/joystream,2022-10,1213
Joystream/joystream,2022-11,1089
Joystream/joystream,2022-12,2028
