github,total_stars,fake_stars,fake_percentage
etherspot/etherspot-sdk,365,94,25.753424657534246
Joystream/joystream,1424,283,19.873595505617978
serverless-stack/sst,21001,2909,13.851721346602544
sst/sst,20984,2905,13.84388105223027
tatumio/tatum-js,353,42,11.89801699716714
hydro-dev/Hydro,3211,324,10.09031454375584
subquery/subql,19121,1729,9.04241409968098
streamr-dev/network-monorepo,573,51,8.900523560209423
streamr-dev/network,573,51,8.900523560209423
martinkr/next-export-i18n,240,18,7.5
MirrorCY/rryth,135,10,7.4074074074074066
navikt/aksel,150,10,6.666666666666667
navikt/nav-frontend-moduler,150,10,6.666666666666667
shesha-io/shesha-framework,327,20,6.116207951070336
adaptyteam/AdaptySDK-React-Native,120,7,5.833333333333333
weavedb/weavedb,195,11,5.641025641025641
reach-sh/reach-lang,587,30,5.110732538330494
holochain/holochain-client-js,257,13,5.058365758754864
replicate/replicate-javascript,435,22,5.057471264367816
homebridge-eufy-security/plugin,156,7,4.487179487179487
freearhey/iptv-playlist-parser,121,5,4.132231404958678
worldwide-asset-exchange/waxjs,127,5,3.937007874015748
codigoencasa/bot-whatsapp,2180,85,3.89908256880734
SamPandey001/Secktor-Md,394,15,3.807106598984772
bwp91/homebridge-govee,434,16,3.686635944700461
BlackAmda/QueenAmdi,380,12,3.1578947368421053
thx/gogocode,5342,160,2.995132909022838
aptos-labs/aptos-core,5894,176,2.9860875466576178
Bitcoin-ABC/bitcoin-abc,1239,35,2.824858757062147
sumithemmadi/truecallerjs,465,13,2.795698924731183
titaniumnetwork-dev/Ultraviolet,440,12,2.727272727272727
Shopify/cli,374,10,2.6737967914438503
fluid-player/fluid-player,791,19,2.402022756005057
esbanarango/ember-model-validator,167,4,2.395209580838324
originjs/origin.js,126,3,2.380952380952381
mystenlabs/sui,5843,129,2.2077699811740548
osmlab/name-suggestion-index,683,15,2.1961932650073206
paraswap/paraswap-sdk,684,14,2.046783625730994
clappr/clappr,7007,143,2.0408163265306123
30-seconds/30-seconds-of-code,120278,1092,0.9078967059645155
pedroslopez/whatsapp-web.js,14429,131,0.9078938249358928
novuhq/novu,33692,242,0.7182713997388104
ccxt/ccxt,31902,172,0.5391511503980941
discordjs/discord.js,25036,134,0.535229269851414
h5bp/html5-boilerplate,56223,215,0.3824057769951799
tabler/tabler,37357,111,0.2971330674304682
nocodb/nocodb,43609,113,0.2591208236831846
mrdoob/three.js,100349,259,0.258099233674476
microsoft/playwright,63731,152,0.2385024556338359
Microsoft/playwright,63734,152,0.2384912291712429
microsoft/vscode,160279,360,0.2246083392085051
angular/angular,95158,202,0.2122785262405683
twbs/bootstrap,168037,343,0.2041217112897754
apache/superset,60468,117,0.1934907719785671
rails/rails,55320,105,0.1898047722342733
tauri-apps/tauri,79531,144,0.181061472884787
airbnb/javascript,142920,250,0.1749230338650993
facebook/react,224906,378,0.1680702160013517
kadirahq/react-storybook,83396,130,0.1558827761523334
storybookjs/storybook,83398,130,0.1558790378666155
tailwindlabs/tailwindcss,80294,124,0.1544324607069021
storybooks/storybook,83379,127,0.1523165305412634
electron/electron,112711,158,0.1401815262041859
facebook/react-native,117022,163,0.1392900480251576
sveltejs/svelte,77453,107,0.1381482963861955
vercel/next.js,122753,169,0.137674842977361
zeit/next.js,122763,169,0.137663628291912
ant-design/ant-design,91011,118,0.129654657129358
puppeteer/puppeteer,87608,111,0.126700757921651
Microsoft/TypeScript,99066,125,0.1261785072577877
vuejs/vue,207342,223,0.1075517743631295
