repo_id,repo_name,n_stars,n_stars_latest,n_stars_low_activity,p_stars_low_activity,n_stars_clustered,p_stars_clustered,p_stars_fake,active_days,tags,description
R_kgDOJLNGUg,mr-teslaa/ai-introduction-uni-course,171.0,17.0,0.0,0.0,171.0,1.0,1.0,472.0,[],
R_kgDOKHrCPg,riazsha/cardanimation,52.0,51.0,0.0,0.0,52.0,1.0,1.0,299.0,[],
R_kgDOKJn0iw,riazsha/gemstay,86.0,92.0,0.0,0.0,86.0,1.0,1.0,300.0,[],
R_kgDOJhMFXg,alpereneskici/azure-pipline-test,53.0,0.0,0.0,0.0,53.0,1.0,1.0,342.0,,
R_kgDOJzAVjA,mr-teslaa/sentiment-analysis-api,186.0,24.0,0.0,0.0,186.0,1.0,1.0,376.0,[],
R_kgDOIWsAJQ,mr-teslaa/flask-restapi-101,190.0,24.0,0.0,0.0,190.0,1.0,1.0,609.0,[],
MDEwOlJlcG9zaXRvcnkzOTg1MDEwNDQ=,mr-teslaa/flaskyshop,173.0,17.0,0.0,0.0,173.0,1.0,1.0,1046.0,[],
R_kgDOIRJnkg,Imran407704/portfolio,68.0,1.0,0.0,0.0,68.0,1.0,1.0,620.0,[],
R_kgDOLVzRuw,Abdullahaqee/Api-Orderbook,56.0,22.0,0.0,0.0,56.0,1.0,1.0,98.0,[],This is my firsl build repository
R_kgDOLXO1pg,mr-teslaa/automate-votarlist-ec,178.0,24.0,0.0,0.0,178.0,1.0,1.0,130.0,[],
R_kgDOLksJQg,mr-teslaa/fullstack-web-dev-course,175.0,24.0,0.0,0.0,175.0,1.0,1.0,125.0,[],
R_kgDOLhDyoA,mr-teslaa/lead-spider-google-my-business,176.0,24.0,0.0,0.0,176.0,1.0,1.0,109.0,[],
R_kgDOHx5i5g,CarveTechElect/GroupOne,84.0,6.0,0.0,0.0,84.0,1.0,1.0,587.0,[],Automated Cart
R_kgDOIAbATQ,allasca/allasca.github.io,313.0,115.0,0.0,0.0,313.0,1.0,1.0,1208.0,[],https://allasca.github.io/
R_kgDOLNxRyw,MusinxFate/MusinxFate,188.0,0.0,0.0,0.0,188.0,1.0,1.0,1372.0,[],
R_kgDOGoNE2Q,Dhanvanth0905/Python-for-Ml,53.0,56.0,0.0,0.0,53.0,1.0,1.0,759.0,[],
R_kgDOGq9KQw,Imran407704/imran407704,56.0,0.0,0.0,0.0,56.0,1.0,1.0,900.0,[],
R_kgDOGzcQfw,Imran407704/back-me-up,61.0,0.0,0.0,0.0,61.0,1.0,1.0,875.0,[],This tool will check for Sensitive Data Leakage with some useful patterns/RegEx. The patterns are mostly targeted on waybackdata and filter everything accordingly.
R_kgDOK55dEQ,nickokss/jumper,59.0,2.0,0.0,0.0,59.0,1.0,1.0,236.0,"['css', 'game', 'game-development', 'html5', 'javascript', 'jump', 'jump-game']",Juego de saltos creado con JS
R_kgDOKCx03g,Khkirill/Socials_themes,378.0,0.0,0.0,0.0,378.0,1.0,1.0,234.0,[],
R_kgDOJIjC2A,mr-teslaa/ml-health-disesas-perdictor,169.0,16.0,0.0,0.0,169.0,1.0,1.0,478.0,[],
R_kgDOJKwQQg,Imran407704/Firewall-Testing,64.0,0.0,0.0,0.0,64.0,1.0,1.0,529.0,[],
R_kgDOJQBKoA,CarveTechElect/CarveTech-Engineering-Webpage,89.0,6.0,0.0,0.0,89.0,1.0,1.0,198.0,[],Work Website
R_kgDOK0fwJQ,mr-teslaa/ecommerce-flask-stripe-cicd,155.0,23.0,0.0,0.0,155.0,1.0,1.0,214.0,[],
R_kgDOKqFs2Q,salwinat0r/Illegal_Product_Categorization,376.0,249.0,0.0,0.0,376.0,1.0,1.0,174.0,[],
R_kgDOIUp2JQ,Imran407704/wordlists,61.0,0.0,0.0,0.0,61.0,1.0,1.0,613.0,[],
R_kgDOIrjA9g,Imran407704/vpss,58.0,0.0,0.0,0.0,58.0,1.0,1.0,553.0,[],
R_kgDOLVbemQ,Imran407704/te_st,62.0,0.0,0.0,0.0,62.0,1.0,1.0,134.0,[],
R_kgDOLR27RA,GLskill/Pattern-Method,152.0,72.0,0.0,0.0,152.0,1.0,1.0,189.0,[],
R_kgDOLiToDQ,ProxideX/ProxideX,222.0,0.0,0.0,0.0,222.0,1.0,1.0,117.0,[],
R_kgDOKkYriw,Eposs10/quests-and-skills,1056.0,0.0,1055.0,0.9990530303030303,0.0,0.0,0.9990530303030303,112.0,[],Vanilla+ Quests and Skills Mod
R_kgDOIytllA,mdtauqeeralam21/p0_foundation_brms,748.0,0.0,0.0,0.0,747.0,0.9986631016042781,0.9986631016042781,422.0,[],
R_kgDOLQRqPg,Vardhannn/AndroidStudioProjects,241.0,0.0,0.0,0.0,240.0,0.995850622406639,0.995850622406639,91.0,[],
R_kgDOKeOZ5Q,unwxnted/socketCloud,201.0,157.0,0.0,0.0,200.0,0.9950248756218906,0.9950248756218906,125.0,[],
R_kgDOGfcdIw,AidwN/theend,180.0,0.0,179.0,0.9944444444444445,0.0,0.0,0.9944444444444445,534.0,[],xddd
R_kgDOIorZPw,Darril44K/angular-fivem,696.0,3.0,0.0,0.0,692.0,0.9942528735632183,0.9942528735632183,470.0,[],
R_kgDOHtXO8Q,abrorbekuz/django-db-only,807.0,214.0,0.0,0.0,801.0,0.9925650557620818,0.9925650557620818,599.0,[],django database system only
R_kgDOLBnx2w,UTrosh/Geoguess,128.0,1.0,0.0,0.0,127.0,0.9921875,0.9921875,122.0,"['automation', 'axie', 'axie-infinity', 'axs', 'docker', 'eth', 'ethereum', 'python', 'python3', 'ronin', 'slp', 'weth']",
R_kgDOLr3imw,Sally-Henderson/VQ,122.0,66.0,0.0,0.0,121.0,0.9918032786885246,0.9918032786885246,174.0,"['aimbot', 'bhop', 'cs-go-aimbot', 'cs-go-esp', 'csgo-aimbot', 'csgo-aimware', 'csgo-exploit', 'csgo-rage', 'csgo2', 'csgo2-aimbot-brutual', 'csgo2-esp', 'free-csgo-aimbot', 'csgo-cheat', 'csgo-hack', 'csgo-wallhack']",
R_kgDOJzpUfw,Gabr1elSouza/DashBoard-LD,237.0,0.0,0.0,0.0,235.0,0.9915611814345991,0.9915611814345991,283.0,"['download-free-exitlag', 'exitlag-crack', 'exitlag-crack-2024', 'exitlag-crackeado', 'exitlag-cracked', 'exitlag-full-crack', 'exitlag-full-version', 'exitlag-gratuit', 'exitlag-keygen', 'exitlag-kostenlos', 'exitlag-license-code', 'exitlag-license-key', 'exitlag-portable', 'exitlag-repack', 'exitlag-torrent', 'free-download-exitlag']",Dashboard Ligth/Dark
MDEwOlJlcG9zaXRvcnkyMTEzODEzMDU=,hossainarif726/Practise-Projects-Of-Automate_The_Boring_Stuff_Book,116.0,1.0,0.0,0.0,115.0,0.9913793103448276,0.9913793103448276,1656.0,"['python', 'twitter', 'valorant-skin', 'valorant-skin-changer', 'valorant-skin-changer-2023', 'valorant-skin-changer-2023-free-download', 'valorant-skin-changer-2024', 'valorant-skin-changer-download', 'valorant-skin-changer-full', 'valorant-skin-changer-legit', 'valorant-skin-hack', 'valorant-skin-swapper', 'valorant-skin-swapper-2023', 'valorant-skin-swapper-2024', 'valorant-skin-swapper-download', 'valorant-skinchanger', 'valorant-skinchanger-2023', 'valorant-skinchanger-download', 'valorant-skins', 'valorant-skinswapper']",
R_kgDOKVpgww,hanachaari/Rust-hck2024,105.0,36.0,0.0,0.0,104.0,0.9904761904761905,0.9904761904761905,99.0,[],rust-cheat rust-hack rust-esp rust-wallhack rust-free-hack hack-rust free-rust-hack rust-hack-2024 rust-hacks download-rust-hack rust-cheat-download rust-cheat-free rust-download-hack rust-hack-undetected rust-esp-hack free-hacks-rust rust-aimbot rust-new-hack rust-free-download rust-cheat-free
R_kgDOLS1xWw,mr-teslaa/valentine-ai,181.0,24.0,0.0,0.0,179.0,0.988950276243094,0.988950276243094,199.0,[],
R_kgDOKZSU0w,dalemoncayo/nestjs-pokedex-api,82.0,113.0,0.0,0.0,81.0,0.9878048780487805,0.9878048780487805,94.0,[],Pokedex API using NestJS
R_kgDOLgU0-Q,Nancy-Hawkins/Rsgv6hv,82.0,62.0,0.0,0.0,81.0,0.9878048780487805,0.9878048780487805,124.0,"['flash-drives', 'rufus', 'rufus-crack', 'rufus-download', 'rufus-free-download', 'create-bootable-usb', 'create-bootable-usb-drives', 'download-free-rufus', 'rufus-2024', 'rufus-free', 'rufus-full', 'rufus-usb']",
R_kgDOLraBRw,Jean-Moreno26/nvskeks,162.0,71.0,0.0,0.0,160.0,0.9876543209876543,0.9876543209876543,92.0,"['3d-modeling-software', 'download-free-pixologic-zbrush', 'free-download-pixologic-zbrush', 'pixologic-zbrush', 'pixologic-zbrush-crack', 'pixologic-zbrush-crack-2024', 'pixologic-zbrush-cracked', 'pixologic-zbrush-full-crack', 'pixologic-zbrush-full-version', 'pixologic-zbrush-keygen', 'pixologic-zbrush-license-code', 'pixologic-zbrush-license-key', 'zbrush', 'zbrush-crack', 'zbrush-crack-2024', 'zbrush-cracked', 'zbrush-free-download', 'zbrush-full-version']",
MDEwOlJlcG9zaXRvcnkyOTI5NTYyNTM=,m-boutaleb/LZS,356.0,275.0,0.0,0.0,351.0,0.9859550561797753,0.9859550561797753,1402.0,[],LZS lossless compression algorithm with match search using hash table
R_kgDOLfKG-g,diamcircle/diam-contract,338.0,339.0,0.0,0.0,333.0,0.985207100591716,0.985207100591716,111.0,[],
R_kgDOId8WMA,KYU-Sasaki/FichaRPG,66.0,2.0,0.0,0.0,65.0,0.9848484848484849,0.9848484848484849,512.0,"['delta-download', 'delta-executor', 'executor', 'executor-download', 'executor-roblox', 'keyless-executor', 'roblox', 'roblox-executor', 'roblox-executor-delta', 'roblox-executor-download', 'roblox-executor-github', 'roblox-injector', 'roblox-script', 'roblox-scripts', 'robloxexecutor']",
MDEwOlJlcG9zaXRvcnkzMzQ0MTQwODk=,mtabanja/mtabanja,61.0,1.0,0.0,0.0,60.0,0.9836065573770492,0.9836065573770492,1584.0,[],
R_kgDOJKlDEw,cryptohub-agency/smart_contract_audits,60.0,1.0,0.0,0.0,59.0,0.9833333333333333,0.9833333333333333,506.0,[],
R_kgDOJFTe9g,Dhanvanth0905/Face_Recognition_Using2dPCA,58.0,59.0,0.0,0.0,57.0,0.9827586206896551,0.9827586206896551,479.0,[],
R_kgDOHiSW8Q,Dhanvanth0905/Gesture_Control_robot_ROS_Project,56.0,57.0,0.0,0.0,55.0,0.9821428571428571,0.9821428571428571,735.0,[],Gesture Controlled Robot for Wireless Surveillance that can travel through Rough Terrain and Live Stream everything Infront of It.
R_kgDOJFTgdg,Dhanvanth0905/Face_Recognition_UsingkPCA,55.0,59.0,0.0,0.0,54.0,0.9818181818181818,0.9818181818181818,479.0,[],
R_kgDOJFTYlw,Dhanvanth0905/Face_recognition_usingPCA,55.0,58.0,0.0,0.0,54.0,0.9818181818181818,0.9818181818181818,479.0,[],
R_kgDOGwC0EA,Dhanvanth0905/OS_Project_Virtual_Memory_Manager,54.0,58.0,0.0,0.0,53.0,0.9814814814814815,0.9814814814814815,879.0,[],
R_kgDOLBylXg,Dhanvanth0905/Recommender_Systems_Using_Collaborative_Filtering,53.0,54.0,0.0,0.0,52.0,0.9811320754716981,0.9811320754716981,170.0,[],
R_kgDOLBuGgg,Dhanvanth0905/Image_Restoration_On_Lunar_Surface_Images,53.0,52.0,0.0,0.0,52.0,0.9811320754716981,0.9811320754716981,192.0,[],"This repository compares Wiener, Median, and Gaussian filters for lunar surface image restoration."
R_kgDOH6pMSA,Rreis019/Flappy-Bird---Neural-Network,232.0,4.0,0.0,0.0,227.0,0.978448275862069,0.978448275862069,583.0,[],
R_kgDOHA2VTg,Rreis019/SuperMarioRecreation,226.0,5.0,0.0,0.0,221.0,0.9778761061946902,0.9778761061946902,751.0,[],
