repo,n_stars,n_stars_low_activity
sindresorhus/awesome,214075,10445
vinta/awesome-python,151665,8157
metatimeofficial/chainlist,19498,7285
jackfrued/Python-100-Days,116982,6924
LupusLeaks/EasyFN,7491,6747
base-org/chains,85841,6412
subquery/subql,18485,5664
mouredev/Hello-Python,23160,5380
FuelLabs/sway,67614,5031
sismo-core/sismo-protocol,19113,4958
lensterxyz/lenster,22997,4755
trimstray/the-book-of-secret-knowledge,117091,4484
feet/audient,6815,4385
skyline-emu/skyline,14627,3851
awesome-selfhosted/awesome-selfhosted,150264,3753
practical-tutorials/project-based-learning,123673,3258
numbersprotocol/nit,4350,3179
Pierian-Data/Complete-Python-3-Bootcamp,24138,3146
LSPosed/MagiskOnWSA,17674,3139
jwasham/coding-interview-university,229841,3042
ossu/computer-science,127685,2836
DarkNetEye/tor-links,5711,2796
freeCodeCamp/freeCodeCamp,110358,2600
TheAlgorithms/Python,143781,2594
AUTOMATIC1111/stable-diffusion-webui,130124,2590
serverless-stack/sst,9959,2497
kamranahmedse/developer-roadmap,207620,2435
PKUFlyingPig/cs-self-learning,49601,2383
memochou1993/gpt-ai-assistant,6988,2351
base-org/node,74735,2259
avelino/awesome-go,84833,2250
EbookFoundation/free-programming-books,210454,2208
krahets/hello-algo,76212,2184
ant-design/ant-design,97691,2167
f/awesome-chatgpt-prompts,101948,2164
wovkop/How-to-create-honeypot-token,2987,2141
microsoft/Web-Dev-For-Beginners,85858,2127
conductor-oss/conductor,12154,2125
kroma-network/tachyon,7660,1991
iptv-org/iptv,82263,1930
Significant-Gravitas/Auto-GPT,83044,1925
IBAX-io/go-ibax,8285,1871
public-apis/public-apis,242374,1866
Snailclimb/JavaGuide,106552,1833
flutter/flutter,110111,1828
FuelLabs/fuel-core,58902,1816
VickScarlet/lifeRestart,11238,1752
ethereum-lists/chains,8926,1708
hiifeng/V2ray-for-Doprax,9152,1698
Project-DARC/DARC,10370,1685
HoneypotToken/How-to-create-Honeypot-Token,2325,1682
nftdevs/NFTs-Upload-to-OpenSea,1800,1574
termux/termux-app,29911,1574
30-seconds/30-seconds-of-code,75594,1570
codecrafters-io/build-your-own-x,140237,1543
Asabeneh/30-Days-Of-Python,35184,1540
Telethon-helper/Help,2788,1478
CyC2018/CS-Notes,113543,1452
microsoft/generative-ai-for-beginners,48777,1448
xiaojieonly/Ehviewer_CN_SXJ,12179,1439
