repo,month,download_count,n_stars_all,n_stars_fake,n_stars_real
AYnonyme971/blague-npm,2023-06,473,1.0,0.0,1.0
AYnonyme971/blague-npm,2023-07,43,0.0,0.0,0.0
AYnonyme971/blague-npm,2023-08,11,0.0,0.0,0.0
Adamant-im/adamant-api-jsclient,2018-12,324,0.0,0.0,0.0
Adamant-im/adamant-api-jsclient,2019-01,159,0.0,0.0,0.0
Adamant-im/adamant-api-jsclient,2019-02,49,0.0,0.0,0.0
Adamant-im/adamant-api-jsclient,2019-03,76,0.0,0.0,0.0
Adamant-im/adamant-api-jsclient,2019-04,84,0.0,0.0,0.0
Adamant-im/adamant-api-jsclient,2019-05,41,0.0,0.0,0.0
Adamant-im/adamant-api-jsclient,2019-06,451,0.0,0.0,0.0
Adamant-im/adamant-api-jsclient,2019-07,531,0.0,0.0,0.0
Adamant-im/adamant-api-jsclient,2019-08,131,0.0,0.0,0.0
Adamant-im/adamant-api-jsclient,2019-09,134,0.0,0.0,0.0
Adamant-im/adamant-api-jsclient,2019-10,114,0.0,0.0,0.0
Adamant-im/adamant-api-jsclient,2019-11,116,0.0,0.0,0.0
Adamant-im/adamant-api-jsclient,2019-12,38,0.0,0.0,0.0
Adamant-im/adamant-api-jsclient,2020-01,188,1.0,0.0,1.0
Adamant-im/adamant-api-jsclient,2020-02,120,0.0,0.0,0.0
Adamant-im/adamant-api-jsclient,2020-03,1079,0.0,0.0,0.0
Adamant-im/adamant-api-jsclient,2020-04,1025,0.0,0.0,0.0
Adamant-im/adamant-api-jsclient,2020-05,1630,0.0,0.0,0.0
Adamant-im/adamant-api-jsclient,2020-06,1992,0.0,0.0,0.0
Adamant-im/adamant-api-jsclient,2020-07,1711,0.0,0.0,0.0
Adamant-im/adamant-api-jsclient,2020-08,1387,0.0,0.0,0.0
Adamant-im/adamant-api-jsclient,2020-09,1226,0.0,0.0,0.0
Adamant-im/adamant-api-jsclient,2020-10,1169,0.0,0.0,0.0
Adamant-im/adamant-api-jsclient,2020-11,1293,0.0,0.0,0.0
Adamant-im/adamant-api-jsclient,2020-12,1602,0.0,0.0,0.0
Adamant-im/adamant-api-jsclient,2021-01,2827,1.0,0.0,1.0
Adamant-im/adamant-api-jsclient,2021-02,2932,0.0,0.0,0.0
Adamant-im/adamant-api-jsclient,2021-03,1820,0.0,0.0,0.0
