repo_name,package,ecosystem,description,domain,organization,created_at,n_stars,n_versions,n_dependent_packages,n_dependent_repos,n_downloads,downloads_period
33fdfffgdfh4626hjjgfdj/gitpush.jadepool.cloud-web,github.com/33fdfffgdfh4626hjjgfdj/gitpush.jadepool.cloud-web,go,,deleted,FALSE,2024-05-11T06:38:32.910Z,114,0,0,0,,
abess-team/skscope,skscope,pypi,Sparsity-Constraint OPtimization via itErative-algorithm,other,TRUE,2023-08-05T18:11:36.042Z,310,10,0,0,3068,last-month
abrorbekuz/django-db-only,django-db-only,pypi,Django models as standalone app.,web,FALSE,2022-07-24T14:31:52.536Z,807,2,0,1,33,last-month
Adamant-im/adamant-api-jsclient,adamant-api,npm,JavaScript API library for the ADAMANT Blockchain,blockchain,TRUE,2022-04-08T23:29:15.825Z,409,48,5,20,319,last-month
Adamant-im/adamant-console,adamant-console,npm,Console API and JSON-RPC for interacting with ADAMANT Blockchain,blockchain,TRUE,2022-04-08T23:29:16.640Z,410,16,2,1,48,last-month
aimeos/aimeos-base,aimeos/aimeos-base,packagist,Aimeos base layer for abstracting from host environments,web,TRUE,2022-04-07T01:19:10.103Z,1141,27,1,5,95123,total
aimeos/aimeos-headless,aimeos/aimeos-headless,packagist,Aimeos headless ecommerce system,web,TRUE,2022-04-07T01:19:10.121Z,1476,8,0,0,1775,total
aimeos/aimeos-symfony,aimeos/aimeos-symfony,packagist,"Professional, full-featured and high performance Symfony e-commerce bundle for online shops and complex B2B projects",web,TRUE,2022-04-07T01:19:10.575Z,366,76,0,2,4148,total
aimeos/aimeos-symfony,aimeos/aimeos-symfony2,packagist,"Professional, full-featured and high performance Symfony e-commerce bundle for online shops and complex B2B projects",web,TRUE,2022-04-07T01:19:16.758Z,366,76,0,4,717,total
aimeos/aimeos-typo3,aimeos/aimeos-typo3,packagist,"Professional, full-featured and high performance TYPO3 e-commerce extension for online shops and complex B2B projects",web,TRUE,2022-04-07T01:19:10.710Z,450,133,4,4,80462,total
aimeos/aimeos-typo3-dist,aimeos/aimeos-typo3-dist,packagist,"Aimeos TYPO3 distribution for web shops, portals and market places",web,TRUE,2022-04-07T01:19:10.709Z,235,22,0,0,1596,total
aimeos/aimeos-typo3-dist,aimeos/aimeos_dist,packagist,"Aimeos TYPO3 distribution for web shops, portals and market places",web,TRUE,2022-04-07T01:19:10.938Z,235,22,0,0,2435,total
aimeos/macro,aimeos/macro,packagist,Customize classes using closures,web,TRUE,2022-04-07T01:19:11.593Z,1382,3,3,7,93186,total
aimeos/upscheme,aimeos/upscheme,packagist,Database schema upgrades made easy,web,TRUE,2022-04-07T01:19:13.528Z,1642,19,1,6,96745,total
ajwlforever/go-ratelimit-manager,github.com/ajwlforever/go-ratelimit-manager,go,,web,FALSE,2024-03-16T02:56:46.679Z,119,1,0,0,,
akash-network/node,github.com/akash-network/node,go,,blockchain,TRUE,2023-01-10T00:43:17.478Z,507,353,3,1,,
akash-network/provider,github.com/akash-network/provider,go,,blockchain,TRUE,2023-01-12T00:36:53.291Z,308,148,0,0,,
alephium/alephium,org.alephium:alephium-api_2.13,maven,alephium-api,blockchain,TRUE,2022-07-23T13:27:09.002Z,240,266,1,0,,
alephium/alephium,org.alephium:alephium-conf_2.13,maven,alephium-conf,blockchain,TRUE,2022-07-23T03:45:22.989Z,240,252,0,0,,
alephium/alephium,org.alephium:alephium-crypto_2.13,maven,alephium-crypto,blockchain,TRUE,2022-07-29T08:09:21.405Z,240,266,3,0,,
alephium/alephium,org.alephium:alephium-http_2.13,maven,alephium-http,blockchain,TRUE,2022-07-23T12:47:37.228Z,240,235,0,0,,
alephium/alephium,org.alephium:alephium-io_2.13,maven,alephium-io,blockchain,TRUE,2022-07-23T04:58:15.298Z,240,266,1,0,,
alephium/alephium,org.alephium:alephium-json_2.13,maven,alephium-json,blockchain,TRUE,2022-07-23T17:05:38.470Z,240,252,3,0,,
alephium/alephium,org.alephium:alephium-macros_2.13,maven,alephium-macros,blockchain,TRUE,2022-07-22T19:15:09.356Z,240,265,1,0,,
alephium/alephium,org.alephium:alephium-protocol_2.13,maven,alephium-protocol,blockchain,TRUE,2022-07-23T09:37:55.517Z,240,266,3,0,,
alephium/alephium,org.alephium:alephium-ralph_2.13,maven,alephium-ralph,blockchain,TRUE,2023-01-26T16:57:36.663Z,240,130,1,0,,
alephium/alephium,org.alephium:alephium-serde_2.13,maven,alephium-serde,blockchain,TRUE,2022-07-29T08:12:18.505Z,240,266,4,0,,
alephium/alephium,org.alephium:alephium-tools_2.13,maven,alephium-tools,blockchain,TRUE,2022-07-22T21:07:24.639Z,240,253,0,0,,
alephium/alephium,org.alephium:alephium-util_2.13,maven,alephium-util,blockchain,TRUE,2022-07-23T15:19:56.018Z,240,266,8,0,,
alirezajavadigit/framebot,alirezajavadi/framebot,packagist,"FrameBot is a fast and secure framework that offers an ORM similar to Eloquent, making it incredibly user-friendly and powerful for developers looking to handle database operations efficiently. Designed with OOP principles in mind, FrameBot provides a robust foundation for building scalable applications.",deleted,FALSE,2024-05-13T22:47:36.702Z,229,1,0,0,6,total
amlweems/xzbot,github.com/amlweems/xzbot,go,,deleted,FALSE,2024-04-02T04:44:44.487Z,3265,0,0,0,,
amurgola/OpenGridJs,opengridjs,npm,"A lightweight JavaScript grid framework that allows you to create fast and easy-to-use data grids in your web application. It supports virtual scrolling, custom column headers, and context menus.",web,FALSE,2023-05-20T18:26:18.183Z,121,13,0,0,56,last-month
AnyLifeZLB/FaceVerificationSDK,io.github.anylifezlb:Face-Verification,maven,Offline Android Face Detection & Recognition And Alive Detect SDK,ai,FALSE,2023-01-26T16:30:54.913Z,559,143,0,1,,
AnyLifeZLB/FaceVerificationSDK,io.github.anylifezlb:FaceVerification,maven,Offline Android Face Detection & Recognition And Alive Detect SDK,ai,FALSE,2023-01-26T16:30:54.629Z,559,5,0,0,,
AnyLifeZLB/FaceVerificationSDK,io.github.anylifezlb:FaceVerifyLib,maven,Offline Android Face Detection & Recognition And Alive Detect SDK,ai,FALSE,2023-01-26T16:30:54.548Z,559,26,0,0,,
athanchap/Khldty,github.com/athanchap/khldty,go,,deleted,FALSE,2024-04-06T06:10:53.860Z,285,0,0,0,,
