package,github,n_downloads,n_prod_deps,n_dev_deps,stars,issues
sass-embedded-linux-ia32,sass/embedded-host-node,1723023.0,0,0,128,274
@vanilla-extract/css,vanilla-extract-css/vanilla-extract,19854597.0,11,1,9173,906
jslint,reid/node-jslint,3758262.0,4,4,489,183
preact-moveable,daybrush/moveable,24370.0,2,8,9389,1075
use-persisted-state,donavon/use-persisted-state,3174022.0,2,14,1372,77
@types/svg-arc-to-cubic-bezier,DefinitelyTyped/DefinitelyTyped,1629637.0,0,0,46776,66341
@casl/ability,stalniy/casl,19055125.0,1,6,5474,833
@tinyhttp/etag,tinyhttp/tinyhttp,589614.0,0,0,2590,391
@docusaurus/theme-mermaid,facebook/docusaurus,747540.0,9,1,51991,8768
@comunica/logger-pretty,comunica/comunica,150136.0,3,0,405,1255
@types/create-react-class,DefinitelyTyped/DefinitelyTyped,1111577.0,1,0,46776,66341
@backstage/plugin-config-schema,backstage/backstage,117518.0,14,5,25846,22385
nuxt-device-detect,dotneet/nuxt-device-detect,51956.0,0,0,837,185
@protobuf-ts/runtime,timostamm/protobuf-ts,6442895.0,0,11,914,587
jqtree,mbraak/jqtree,129527.0,1,44,1024,789
vite-svg-loader,jpkleemans/vite-svg-loader,3910329.0,2,2,510,141
@web3-react/walletconnect-v2,Uniswap/web3-react,111811.0,4,1,5331,791
@types/xmpp__middleware,DefinitelyTyped/DefinitelyTyped,76071.0,5,0,46776,66341
docz,doczjs/docz,536458.0,20,0,23496,1733
@wdio/cli,webdriverio/webdriverio,22314416.0,24,8,8715,11895
pinia-orm,CodeDredd/pinia-orm,69761.0,2,30,398,1697
jest,jestjs/jest,1034455984.0,5,0,43399,14852
lexical,facebook/lexical,5358769.0,0,0,16955,5241
@aws-sdk/client-amplifybackend,aws/aws-sdk-js-v3,94854.0,40,7,2801,5575
@open-wc/karma-esm,open-wc/open-wc,194304.0,10,8,2188,2741
@stablelib/blake2b,StableLib/stablelib,816316.0,3,2,156,67
@types/imagemin-gifsicle,DefinitelyTyped/DefinitelyTyped,13899046.0,1,0,46776,66341
metismenu,onokumus/metismenu,2976702.0,1,9,1953,204
respec,w3c/respec,41654.0,6,38,691,4624
@alita/request,alitajs/alita,536130.0,1,0,765,642
gatsby-plugin-s3,jariz/gatsby-plugin-s3,1606433.0,17,3,211,461
@tinkoff/dippy,Tinkoff/tramvai,51322.0,1,0,223,13
@aws-solutions-constructs/core,awslabs/aws-solutions-constructs,7610103.0,7,7,1149,1081
@swc/core-linux-x64-musl,swc-project/swc,94534431.0,0,0,29708,8145
reactabular-sticky,reactabular/reactabular,57928.0,3,2,914,388
prosemirror-dev-tools,d4rkr00t/prosemirror-dev-tools,516268.0,12,31,299,128
calendar,ramalho/calendar.js,668159.0,0,0,124,9
mongo-oplog,cayasso/mongo-oplog,38027.0,3,8,383,86
@popmotion/easing,Popmotion/popmotion,5893241.0,0,13,19745,961
@types/prompt-sync,DefinitelyTyped/DefinitelyTyped,1986231.0,0,0,46776,66341
@types/pell,DefinitelyTyped/DefinitelyTyped,25206.0,0,0,46776,66341
@speechly/browser-client,speechly/speechly,60196.0,2,33,179,255
@verdaccio/core,verdaccio/verdaccio,2010815.0,6,4,15762,4043
plex-api,phillipj/node-plex-api,29546.0,5,6,231,117
@aws-cdk/aws-redshift-alpha,aws/aws-cdk,688095.0,2,11,11030,28455
ngx-loading,Zak-C/ngx-loading,916094.0,3,0,266,181
@redux-saga/delay-p,redux-saga/redux-saga,42733465.0,1,6,22506,2377
@caplin/jest-image-snapshot,americanexpress/jest-image-snapshot,246773.0,10,14,3752,345
@blockcerts/cert-verifier-js,blockchain-certificates/cert-verifier-js,32536.0,22,54,110,1778
@teambit/forking,teambit/bit,111489.0,24,5,17437,8489
lodash.issymbol,lodash/lodash,46826.0,0,0,58625,5615
@graphcommerce/docs,graphcommerce-org/graphcommerce,27978.0,1,0,261,2206
azure-iot-security-x509,Azure/azure-iot-sdk-node,28682.0,3,17,256,1206
rspack-manifest-plugin,shellscape/webpack-manifest-plugin,34286.0,3,28,1425,300
@types/kakao-js-sdk,DefinitelyTyped/DefinitelyTyped,34389.0,0,0,46776,66341
html-pdf,marcbachmann/node-html-pdf,9738176.0,1,4,3537,705
common-tags,zspecza/common-tags,570264936.0,0,22,1969,219
@kongponents/kmodal,Kong/kongponents,21332.0,4,0,119,2063
react-rte,sstur/react-rte,2162534.0,12,26,2846,459
@magidoc/plugin-starter-common,magidoc-org/magidoc,34826.0,2,10,211,330
@stryker-mutator/jest-runner,stryker-mutator/stryker-js,2530560.0,5,9,2508,4773
@dcloudio/uni-app,dcloudio/uni-app,179743.0,8,0,39220,4667
@sigstore/tuf,sigstore/sigstore-js,19701677.0,2,3,147,1067
@syncfusion/ej2-documenteditor,syncfusion/ej2-javascript-ui-controls,695295.0,11,0,381,172
xzoom,payalord/xZoom,109711.0,1,4,166,79
googleapis,googleapis/google-api-nodejs-client,70221850.0,2,37,11104,3369
@types/ssri,DefinitelyTyped/DefinitelyTyped,4540956.0,1,0,46776,66341
@aws-cdk/aws-iotcoredeviceadvisor,aws/aws-cdk,336882.0,2,5,11030,28455
midtrans-client,midtrans/midtrans-nodejs-client,168865.0,2,2,157,68
html-screen-capture-js,html-screen-capture-js/html-screen-capture-js,32466.0,0,18,211,73
@types/esutils,DefinitelyTyped/DefinitelyTyped,1753248.0,0,0,46776,66341
react-with-observable,mmiszy/react-with-observable,38571.0,2,41,110,394
@types/isomorphic-fetch,DefinitelyTyped/DefinitelyTyped,14827670.0,0,0,46776,66341
